Daily Mean data,    supplied by UK-air on 02/08/2020,,    supplied by UK-air on 02/08/2020,
08/10/2019,26,V ugm-3,74,V ugm-3
09/10/2019,32,V ugm-3,73,V ugm-3
10/10/2019,29,V ugm-3,72,V ugm-3
11/10/2019,32,V ugm-3,68,V ugm-3
12/10/2019,34,V ugm-3,72,V ugm-3
13/10/2019,39,V ugm-3,61,V ugm-3
14/10/2019,60,V ugm-3,57,V ugm-3
15/10/2019,41,V ugm-3,77,V ugm-3
16/10/2019,39,V ugm-3,70,V ugm-3
17/10/2019,49,V ugm-3,78,V ugm-3
18/10/2019,36,V ugm-3,72,V ugm-3
19/10/2019,37,V ugm-3,71,V ugm-3
20/10/2019,40,V ugm-3,30,V ugm-3
21/10/2019,47,V ugm-3,27,V ugm-3
22/10/2019,45,V ugm-3,72,V ugm-3
23/10/2019,47,V ugm-3,63,V ugm-3
24/10/2019,40,V ugm-3,64,V ugm-3
25/10/2019,30,V ugm-3,60,V ugm-3
26/10/2019,37,V ugm-3,42,V ugm-3
27/10/2019,46,V ugm-3,47,V ugm-3
28/10/2019,58,V ugm-3,48,V ugm-3
29/10/2019,50,V ugm-3,50,V ugm-3
30/10/2019,49,V ugm-3,64,V ugm-3
31/10/2019,44,V ugm-3,64,V ugm-3
01/11/2019,32,V ugm-3,67,V ugm-3
02/11/2019,15,V ugm-3,51,V ugm-3
03/11/2019,26,V ugm-3,67,V ugm-3
04/11/2019,48,V ugm-3,71,V ugm-3
05/11/2019,43,V ugm-3,33,V ugm-3
06/11/2019,41,V ugm-3,68,V ugm-3
07/11/2019,38,V ugm-3,79,V ugm-3
08/11/2019,58,V ugm-3,55,V ugm-3
09/11/2019,52,V ugm-3,60,V ugm-3
10/11/2019,43,V ugm-3,42,V ugm-3
11/11/2019,28,V ugm-3,64,V ugm-3
12/11/2019,25,V ugm-3,72,V ugm-3
13/11/2019,34,V ugm-3,78,V ugm-3
14/11/2019,63,V ugm-3,78,V ugm-3
15/11/2019,46,V ugm-3,29,V ugm-3
16/11/2019,50,V ugm-3,48,V ugm-3
17/11/2019,47,V ugm-3,52,V ugm-3
18/11/2019,54,V ugm-3,40,V ugm-3
19/11/2019,46,V ugm-3,82,V ugm-3
20/11/2019,28,V ugm-3,70,V ugm-3
21/11/2019,48,V ugm-3,64,V ugm-3
22/11/2019,51,V ugm-3,70,V ugm-3
23/11/2019,46,V ugm-3,51,V ugm-3
24/11/2019,35,V ugm-3,50,V ugm-3
25/11/2019,40,V ugm-3,58,V ugm-3
26/11/2019,30,V ugm-3,68,V ugm-3
27/11/2019,61,V ugm-3,71,V ugm-3
28/11/2019,44,V ugm-3,47,V ugm-3
29/11/2019,66,V ugm-3,49,V ugm-3
30/11/2019,60,V ugm-3,61,V ugm-3
01/12/2019,55,V ugm-3,31,V ugm-3
02/12/2019,78,V ugm-3,65,V ugm-3
03/12/2019,64,V ugm-3,86,V ugm-3
04/12/2019,62,V ugm-3,86,V ugm-3
05/12/2019,44,V ugm-3,77,V ugm-3
06/12/2019,25,V ugm-3,74,V ugm-3
07/12/2019,25,V ugm-3,62,V ugm-3
08/12/2019,13,V ugm-3,54,V ugm-3
09/12/2019,40,V ugm-3,39,V ugm-3
10/12/2019,30,V ugm-3,67,V ugm-3
11/12/2019,42,V ugm-3,85,V ugm-3
12/12/2019,37,V ugm-3,87,V ugm-3
13/12/2019,28,V ugm-3,65,V ugm-3
14/12/2019,21,V ugm-3,72,V ugm-3
15/12/2019,15,V ugm-3,61,V ugm-3
16/12/2019,69,V ugm-3,78,V ugm-3
17/12/2019,65,V ugm-3,67,V ugm-3
18/12/2019,36,V ugm-3,71,V ugm-3
19/12/2019,21,V ugm-3,59,V ugm-3
20/12/2019,53,V ugm-3,73,V ugm-3
21/12/2019,30,V ugm-3,65,V ugm-3
22/12/2019,21,V ugm-3,61,V ugm-3
23/12/2019,28,V ugm-3,63,V ugm-3
24/12/2019,21,V ugm-3,56,V ugm-3
25/12/2019,40,V ugm-3,43,V ugm-3
26/12/2019,21,V ugm-3,49,V ugm-3
27/12/2019,41,V ugm-3,39,V ugm-3
28/12/2019,43,V ugm-3,53,V ugm-3
29/12/2019,24,V ugm-3,50,V ugm-3
30/12/2019,71,V ugm-3,47,V ugm-3
31/12/2019,53,V ugm-3,45,V ugm-3
01/01/2020,33,V ugm-3,51,V ugm-3
02/01/2020,20,V ugm-3,52,V ugm-3
03/01/2020,36,V ugm-3,43,V ugm-3
04/01/2020,26,V ugm-3,61,V ugm-3
05/01/2020,15,V ugm-3,57,V ugm-3
06/01/2020,21,V ugm-3,58,V ugm-3
07/01/2020,24,V ugm-3,54,V ugm-3
08/01/2020,29,V ugm-3,56,V ugm-3
09/01/2020,40,V ugm-3,55,V ugm-3
10/01/2020,37,V ugm-3,46,V ugm-3
11/01/2020,9,V ugm-3,49,V ugm-3
12/01/2020,16,V ugm-3,49,V ugm-3
13/01/2020,26,V ugm-3,56,V ugm-3
14/01/2020,16,V ugm-3,54,V ugm-3
15/01/2020,28,V ugm-3,66,V ugm-3
16/01/2020,24,V ugm-3,61,V ugm-3
17/01/2020,28,V ugm-3,69,V ugm-3
18/01/2020,74,V ugm-3,56,V ugm-3
19/01/2020,84,V ugm-3,50,V ugm-3
20/01/2020,81,V ugm-3,82,V ugm-3
21/01/2020,82,V ugm-3,81,V ugm-3
22/01/2020,85,V ugm-3,52,V ugm-3
23/01/2020,66,V ugm-3,NaN,V ugm-3
24/01/2020,59,V ugm-3,NaN,V ugm-3
25/01/2020,36,V ugm-3,54,V ugm-3
26/01/2020,26,V ugm-3,58,V ugm-3
27/01/2020,42,V ugm-3,73,V ugm-3
28/01/2020,27,V ugm-3,80,V ugm-3
29/01/2020,29,V ugm-3,81,V ugm-3
30/01/2020,28,V ugm-3,72,V ugm-3
31/01/2020,28,V ugm-3,70,V ugm-3
01/02/2020,16,V ugm-3,71,V ugm-3
02/02/2020,20,V ugm-3,68,V ugm-3
03/02/2020,25,V ugm-3,65,V ugm-3
04/02/2020,31,V ugm-3,44,V ugm-3
05/02/2020,61,V ugm-3,80,V ugm-3
06/02/2020,63,V ugm-3,84,V ugm-3
07/02/2020,34,V ugm-3,72,V ugm-3
08/02/2020,15,V ugm-3,65,V ugm-3
09/02/2020,5,V ugm-3,35,V ugm-3
10/02/2020,16,V ugm-3,69,V ugm-3
11/02/2020,18,V ugm-3,66,V ugm-3
12/02/2020,28,V ugm-3,74,V ugm-3
13/02/2020,31,V ugm-3,68,V ugm-3
14/02/2020,37,V ugm-3,77,V ugm-3
15/02/2020,12,V ugm-3,40,V ugm-3
16/02/2020,9,V ugm-3,55,V ugm-3
17/02/2020,17,V ugm-3,70,V ugm-3
18/02/2020,18,V ugm-3,74,V ugm-3
19/02/2020,27,V ugm-3,76,V ugm-3
20/02/2020,20,V ugm-3,64,V ugm-3
21/02/2020,17,V ugm-3,74,V ugm-3
22/02/2020,12,V ugm-3,57,V ugm-3
23/02/2020,23,V ugm-3,40,V ugm-3
24/02/2020,17,V ugm-3,70,V ugm-3
25/02/2020,23,V ugm-3,86,V ugm-3
26/02/2020,26,V ugm-3,59,V ugm-3
27/02/2020,48,V ugm-3,54,V ugm-3
28/02/2020,28,V ugm-3,74,V ugm-3
29/02/2020,12,V ugm-3,61,V ugm-3
01/03/2020,22,V ugm-3,64,V ugm-3
02/03/2020,32,V ugm-3,61,V ugm-3
03/03/2020,31,V ugm-3,87,V ugm-3
04/03/2020,61,V ugm-3,90,V ugm-3
05/03/2020,55,V ugm-3,37,V ugm-3
06/03/2020,61,V ugm-3,62,V ugm-3
07/03/2020,22,V ugm-3,77,V ugm-3
08/03/2020,10,V ugm-3,59,V ugm-3
09/03/2020,18,V ugm-3,79,V ugm-3
10/03/2020,11,V ugm-3,63,V ugm-3
11/03/2020,18,V ugm-3,75,V ugm-3
12/03/2020,14,V ugm-3,76,V ugm-3
13/03/2020,20,V ugm-3,69,V ugm-3
14/03/2020,25,V ugm-3,61,V ugm-3
15/03/2020,19,V ugm-3,53,V ugm-3
16/03/2020,39,V ugm-3,68,V ugm-3
17/03/2020,20,V ugm-3,66,V ugm-3
18/03/2020,25,V ugm-3,60,V ugm-3
19/03/2020,46,V ugm-3,29,V ugm-3
20/03/2020,31,V ugm-3,21,V ugm-3
21/03/2020,21,V ugm-3,34,V ugm-3
22/03/2020,21,V ugm-3,31,V ugm-3
23/03/2020,37,V ugm-3,65,V ugm-3
24/03/2020,37,V ugm-3,49,V ugm-3
25/03/2020,50,V ugm-3,61,V ugm-3
26/03/2020,45,V ugm-3,32,V ugm-3
27/03/2020,33,V ugm-3,20,V ugm-3
28/03/2020,12,V ugm-3,9,V ugm-3
29/03/2020,7,V ugm-3,7,V ugm-3
30/03/2020,24,V ugm-3,15,V ugm-3
31/03/2020,26,V ugm-3,24,V ugm-3
01/04/2020,35,N ugm-3,33,N ugm-3
02/04/2020,14,N ugm-3,35,N ugm-3
03/04/2020,18,N ugm-3,42,N ugm-3
04/04/2020,24,N ugm-3,32,N ugm-3
05/04/2020,12,N ugm-3,23,N ugm-3
06/04/2020,10,N ugm-3,36,N ugm-3
07/04/2020,31,N ugm-3,42,N ugm-3
08/04/2020,51,N ugm-3,48,N ugm-3
09/04/2020,41,N ugm-3,44,N ugm-3
10/04/2020,27,N ugm-3,39,N ugm-3
11/04/2020,26,N ugm-3,37,N ugm-3
12/04/2020,22,N ugm-3,21,N ugm-3
13/04/2020,8,N ugm-3,4,N ugm-3
14/04/2020,30,N ugm-3,24,N ugm-3
15/04/2020,40,N ugm-3,46,N ugm-3
16/04/2020,43,N ugm-3,44,N ugm-3
17/04/2020,29,N ugm-3,21,N ugm-3
18/04/2020,22,N ugm-3,17,N ugm-3
19/04/2020,14,N ugm-3,11,N ugm-3
20/04/2020,20,N ugm-3,14,N ugm-3
21/04/2020,21,N ugm-3,15,N ugm-3
22/04/2020,25,N ugm-3,18,N ugm-3
23/04/2020,29,N ugm-3,30,N ugm-3
24/04/2020,36,N ugm-3,27,N ugm-3
25/04/2020,23,N ugm-3,21,N ugm-3
26/04/2020,17,N ugm-3,25,N ugm-3
27/04/2020,25,N ugm-3,31,N ugm-3
28/04/2020,26,N ugm-3,19,N ugm-3
29/04/2020,9,N ugm-3,27,N ugm-3
30/04/2020,6,N ugm-3,27,N ugm-3
01/05/2020,7,N ugm-3,27,N ugm-3
02/05/2020,11,N ugm-3,20,N ugm-3
03/05/2020,20,N ugm-3,24,N ugm-3
04/05/2020,27,N ugm-3,22,N ugm-3
05/05/2020,18,N ugm-3,21,N ugm-3
06/05/2020,30,N ugm-3,28,N ugm-3
07/05/2020,32,N ugm-3,43,N ugm-3
08/05/2020,35,N ugm-3,39,N ugm-3
09/05/2020,26,N ugm-3,37,N ugm-3
10/05/2020,13,N ugm-3,6,N ugm-3
11/05/2020,20,N ugm-3,5,N ugm-3
12/05/2020,26,N ugm-3,17,N ugm-3
13/05/2020,30,N ugm-3,9,N ugm-3
14/05/2020,31,N ugm-3,15,N ugm-3
15/05/2020,22,N ugm-3,23,N ugm-3
16/05/2020,10,N ugm-3,21,N ugm-3
17/05/2020,6,N ugm-3,23,N ugm-3
18/05/2020,7,N ugm-3,33,N ugm-3
19/05/2020,7,N ugm-3,29,N ugm-3
20/05/2020,21,N ugm-3,38,N ugm-3
21/05/2020,15,N ugm-3,37,N ugm-3
22/05/2020,5,N ugm-3,26,N ugm-3
23/05/2020,3,N ugm-3,15,N ugm-3
24/05/2020,4,N ugm-3,13,N ugm-3
25/05/2020,14,N ugm-3,23,N ugm-3
26/05/2020,20,N ugm-3,27,N ugm-3
27/05/2020,37,N ugm-3,32,N ugm-3
28/05/2020,25,N ugm-3,24,N ugm-3
29/05/2020,24,N ugm-3,29,N ugm-3
30/05/2020,22,N ugm-3,18,N ugm-3
31/05/2020,17,N ugm-3,12,N ugm-3
01/06/2020,40,N ugm-3,21,N ugm-3
02/06/2020,31,N ugm-3,20,N ugm-3
03/06/2020,42,N ugm-3,30,N ugm-3
04/06/2020,19,N ugm-3,20,N ugm-3
05/06/2020,12,N ugm-3,28,N ugm-3
06/06/2020,5,N ugm-3,31,N ugm-3
07/06/2020,17,N ugm-3,18,N ugm-3
08/06/2020,25,N ugm-3,15,N ugm-3
09/06/2020,21,N ugm-3,33,N ugm-3
10/06/2020,21,N ugm-3,38,N ugm-3
11/06/2020,31,N ugm-3,19,N ugm-3
12/06/2020,32,N ugm-3,33,N ugm-3
13/06/2020,19,N ugm-3,33,N ugm-3
14/06/2020,11,N ugm-3,34,N ugm-3
15/06/2020,26,N ugm-3,48,N ugm-3
16/06/2020,30,N ugm-3,45,N ugm-3
17/06/2020,37,N ugm-3,46,N ugm-3
18/06/2020,43,N ugm-3,43,N ugm-3
19/06/2020,13,N ugm-3,37,N ugm-3
20/06/2020,12,N ugm-3,29,N ugm-3
21/06/2020,7,N ugm-3,22,N ugm-3
22/06/2020,16,N ugm-3,37,N ugm-3
23/06/2020,26,N ugm-3,48,N ugm-3
24/06/2020,42,N ugm-3,60,N ugm-3
25/06/2020,35,N ugm-3,61,N ugm-3
26/06/2020,22,N ugm-3,59,N ugm-3
27/06/2020,9,N ugm-3,20,N ugm-3
28/06/2020,5,N ugm-3,22,N ugm-3
29/06/2020,8,N ugm-3,34,N ugm-3
30/06/2020,13,N ugm-3,32,N ugm-3
01/07/2020,9,N ugm-3,33,N ugm-3
02/07/2020,8,N ugm-3,38,N ugm-3
03/07/2020,8,N ugm-3,NaN,N ugm-3
04/07/2020,5,N ugm-3,18,N ugm-3
05/07/2020,2,N ugm-3,18,N ugm-3
06/07/2020,12,N ugm-3,22,N ugm-3
07/07/2020,11,N ugm-3,48,N ugm-3
08/07/2020,7,N ugm-3,27,N ugm-3
09/07/2020,NaN,N ugm-3,28,N ugm-3
10/07/2020,20,N ugm-3,NaN,N ugm-3
11/07/2020,21,N ugm-3,21,N ugm-3
12/07/2020,13,N ugm-3,33,N ugm-3
13/07/2020,11,N ugm-3,42,N ugm-3
14/07/2020,17,N ugm-3,18,N ugm-3
15/07/2020,13,N ugm-3,27,N ugm-3
16/07/2020,15,N ugm-3,19,N ugm-3
17/07/2020,9,N ugm-3,40,N ugm-3
18/07/2020,6,N ugm-3,26,N ugm-3
19/07/2020,23,N ugm-3,13,N ugm-3
20/07/2020,37,N ugm-3,17,N ugm-3
21/07/2020,36,N ugm-3,23,N ugm-3
22/07/2020,27,N ugm-3,54,N ugm-3
23/07/2020,9,N ugm-3,59,N ugm-3
24/07/2020,9,N ugm-3,45,N ugm-3
25/07/2020,8,N ugm-3,33,N ugm-3
26/07/2020,4,N ugm-3,26,N ugm-3
27/07/2020,10,N ugm-3,30,N ugm-3
28/07/2020,13,N ugm-3,33,N ugm-3
29/07/2020,20,N ugm-3,50,N ugm-3
30/07/2020,28,N ugm-3,61,N ugm-3
31/07/2020,31,N ugm-3,77,N ugm-3
01/08/2020,8,N ugm-3,32,N ugm-3
